artist_name,artist_spid,artist_followers,artist_popularity,artist_genres,2016,2017,2018,2019,2021
Tony Succar,17S2mEKDY4xHBWCy9kAPzk,35605.0,50.0,"['modern salsa', 'salsa peruana']",0,0,0,0,1
Toquinho,7rPqFVgJYARiFsLDlN6W6y,278820.0,67.0,"['bossa nova', 'mpb', 'samba', 'violao']",1,0,0,0,0
Toundra,3cgIU3hh7Y4pUsPgHB8aYT,38612.0,34.0,"['instrumental post-rock', 'post-rock', 'spanish post-rock', 'spanish progressive rock']",1,0,0,0,0
Trombone Shorty,37ZvFp654tY74Z1D2TLOGR,136013.0,52.0,"['funk', 'jazz trombone', 'modern funk', 'new orleans funk']",0,0,1,0,0
Tulsa,2gtVnbrVpID8VrotZPOg2a,25466.0,53.0,"['latin rock', 'spanish indie pop', 'spanish modern rock', 'spanish noise pop']",1,0,0,0,0
Twanguero,1qupsn74dUofcXCZCBEwMS,3728.0,31.0,['spanish folk rock'],0,0,0,1,1
UB40,69MEO1AADKg1IZrq2XLzo5,1628787.0,72.0,"['reggae', 'reggae fusion', 'uk reggae']",0,1,0,0,0
Vicente Garcia,2Otnykd696YidQYfEGVmNq,322499.0,65.0,"['bachata', 'dominican pop', 'latin', 'latin alternative', 'latin pop', 'reggae en espanol']",0,0,0,0,1
Vintage Trouble,72Pauuctba5lMzC89R0Vk0,107046.0,47.0,"['funk', 'modern blues rock']",0,0,0,0,1
Víctor Manuel,6cFqY5mkBqKqaIYunDg1k8,180418.0,57.0,"['cantautor', 'nueva cancion', 'spanish pop', 'trova']",0,0,0,0,1
Wilco,2QoU3awHVdcHS8LrZEKvSM,573751.0,65.0,"['alternative country', 'alternative rock', 'chicago indie', 'folk rock', 'indie pop', 'indie rock', 'pop rock', 'rock', 'roots rock', 'stomp and holler']",1,0,0,0,1
Woodkid,44TGR1CzjKBxSHsSEy7bi9,619431.0,66.0,['chamber pop'],0,0,0,0,1
Woody Allen,7HPDGnxb8oSBQ0HuNx2xqR,14522.0,30.0,['comedy'],0,0,0,1,0
Ximena Sariñana,7plUpXSFcSJUZSiZAoXqr1,991405.0,70.0,"['latin', 'latin alternative', 'latin pop', 'mexican pop']",0,0,0,1,0
Xoel López,59bV1Zv97BwGJYy6O2SvUx,79776.0,62.0,"['cantautor', 'latin rock', 'spanish indie pop', 'spanish rock']",1,0,0,0,0
Yann Tiersen,00sazWvoTLOqg5MFwC68Um,844261.0,70.0,"['bow pop', 'compositional ambient', 'french soundtrack']",0,0,0,0,1
Youssou N'Dour,77zlytAFjPFjUKda8TNIDY,110380.0,58.0,"['afropop', 'mande pop', 'mbalax', 'world']",0,0,0,0,1
Zahara,7uLePkJ2f0MwEcphODfkuu,176039.0,61.0,"['cantautor', 'latin rock', 'spanish indie pop', 'spanish pop', 'spanish rock']",0,0,0,1,0
Zenet,2s7td67DdtSXTx2TGzs01i,60448.0,49.0,"['cantautor', 'flamenco', 'rumba']",0,0,0,0,1
Zoé,6IdtcAwaNVAggwd6sCKgTI,3301298.0,76.0,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",0,0,1,0,0
Zucchero,2KftmGt9sk1yLjsAoloC3M,560552.0,66.0,"['classic italian pop', 'italian adult pop', 'italian pop rock']",0,0,0,0,1
