artist_name,artist_spid,artist_followers,artist_popularity,artist_genres,2016,2017,2018,2019,2021
Buika,1gbXoccc8bjK8eUh92mILy,215678.0,54.0,"['flamenco', 'rumba']",0,1,0,0,0
Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,1499669.0,73.0,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']",0,0,1,0,0
Calexico,1OmdWpAh1pucAuZPzJaxIJ,159310.0,54.0,"['alternative country', 'freak folk', 'indie rock', 'roots rock', 'stomp and holler', 'tucson indie']",0,0,1,0,0
Carlinhos Brown,5jvQoouPSDvUEwynz5KPpv,99290.0,55.0,"['axe', 'latin alternative', 'mpb', 'samba reggae']",0,0,0,0,1
Carlos Nuñez,3e09WanUMwtc9XfZRLvZ30,23803.0,39.0,"['balfolk', 'celtic', 'gaita', 'galician folk', 'spanish folk']",0,0,0,1,0
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,4251475.0,76.0,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']",0,0,1,0,0
Charles Lloyd,0GC1oqEWpiAjfE7jm5LQO5,23217.0,48.0,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'italian jazz', 'jazz', 'jazz fusion', 'jazz quartet', 'jazz saxophone', 'vocal jazz']",0,0,1,0,0
Charlie Winston,7xQTON6uj7akAGzlanUzy3,83770.0,49.0,['uk alternative pop'],0,0,0,1,0
Chick Corea,5olDKSsFhhmwh8UCWwKtpq,245665.0,65.0,"['bebop', 'contemporary post-bop', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano']",0,0,0,1,0
Chico Trujillo,6Hs8U0JO2nacXFG4kp15Co,188855.0,57.0,"['chicha', 'chilean rock', 'cumbia chilena', 'latin alternative', 'latin rock', 'nueva cancion']",1,0,0,0,0
Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,60133.0,48.0,"['jazz cubano', 'jazz piano', 'latin jazz', 'musica tradicional cubana']",0,1,0,0,0
Cimafunk,28wtFivtmdKxFRfu57AhBe,21005.0,44.0,['cuban alternative'],0,0,0,0,1
Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,598187.0,69.0,"['british soul', 'neo mellow', 'neo soul', 'pop soul', 'soul']",0,0,1,0,0
Corizonas,3Jyx7BnfcTeK52GYGoI3BP,14390.0,27.0,['latin rock'],0,0,1,0,0
Cory Henry,21SOnTj5ECwVXeBUTRcP3s,110870.0,53.0,"['jazz organ', 'modern funk', 'neo r&b', 'neo soul', 'retro soul']",0,0,1,0,0
Crowded House,7ohlPA8dRBtCf92zaZCaaB,557127.0,69.0,"['australian pop', 'australian rock', 'dance rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock']",0,0,0,0,1
Cymande,4hfcSstwnyuBoek1dQwLkG,126664.0,56.0,"['afrobeat', 'afropop', 'classic soul', 'electronica', 'funk', 'jazz funk', 'psychedelic soul', 'soul', 'world']",0,0,0,0,1
Cécile McLorin Salvant,6PkSULcbxFKkxdgrmPGAvn,61722.0,54.0,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']",1,0,1,0,1
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,1407555.0,76.0,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0,0,0,1,0
David Byrne,20vuBdFblWUo2FCOvUzusB,246882.0,58.0,"['art pop', 'art punk', 'art rock', 'dance rock', 'permanent wave']",0,0,1,0,0
DePedro,3wpNKcE7grYUIRKCMpmBOb,68331.0,56.0,"['cantautor', 'latin rock', 'spanish indie pop', 'spanish rock']",0,0,1,0,0
Dead Capo,0R9DJNoLhTjylhR49xjg1C,588.0,4.0,[],0,0,0,1,0
Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,507067.0,64.0,['freak folk'],0,1,0,0,0
Diego El Cigala,7mLYMGXg84miYydKwi2aRi,221257.0,63.0,"['flamenco', 'rumba']",0,0,0,1,1
Djavan,5rrmaoBXZ7Jcs4Qb77j0YA,1765116.0,69.0,"['bossa nova', 'mpb', 'musica alagoana']",0,1,0,0,0
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,2599489.0,76.0,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",1,0,0,0,0
Eliane Elias,4qKIiUdFND09cgGOc5kfoR,72399.0,55.0,"['adult standards', 'bossa nova', 'brazilian modern jazz', 'contemporary vocal jazz', 'jazz pop', 'lounge', 'piano mpb', 'vocal jazz']",0,1,0,0,0
Elvis Costello & The Imposters,2GfwNBU0jeY3MkaxjkoZzo,35018.0,22.0,[],0,0,1,0,0
Estrella Morente,5gKJbL392PiokTPUoL7N6D,121104.0,52.0,"['cante flamenco', 'flamenco', 'nuevo flamenco', 'pop flamenco', 'rumba']",0,0,0,0,1
Eva Ayllón,6AQFORISOneOZkh6r1sGS2,97212.0,54.0,"['classic peruvian pop', 'musica afroperuana', 'peruvian rock', 'pop peruano']",0,0,0,0,1
Film Symphony Orchestra,3yJxcCArS3cbrzLwc2Xr82,13722.0,39.0,[],0,1,0,0,0
Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,368659.0,61.0,"['classic italian pop', 'experimental', 'italian adult pop']",0,1,0,0,0
Funambulista,16UAI1WxiKCIKd4NHtFt2U,103468.0,57.0,"['cantautor', 'latin arena pop', 'murcia indie', 'spanish pop', 'spanish rock']",0,0,1,0,0
