edition,date,artist
2019,10/07/2019,Amadou & Mariam
2019,10/07/2019,Macy Gray
2019,11/07/2019,Michael Bolton
2019,12/07/2019,Diego El Cigala
2019,14/07/2019,Niña Pastori
2019,16/07/2019,Charlie Winston
2019,16/07/2019,LP
2019,17/07/2019,Daniel Casares
2019,17/07/2019,Jane Birkin
2019,19/07/2019,Orishas
2019,20/07/2019,Keane
2019,22/07/2019,José James
2019,22/07/2019,Melody Gardot
2019,23/07/2019,Snarky Puppy
2019,23/07/2019,Masego
2019,24/07/2019,Roger Hodgson
2019,25/07/2019,Tomatito
2019,25/07/2019,George Benson
2019,26/07/2019,The Paco de Lucía Project
2019,26/07/2019,Chick Corea
2019,28/07/2019,O Sister!
2019,28/07/2019,Pink Martini
2019,29/07/2019,El Twanguero
2019,29/07/2019,Ben Harper & The Innocent Criminals
2019,30/07/2019,Supersonic Blues Machine
2019,31/07/2019,Rufus T. Firefly
2019,31/07/2019,Russian Red
2018,21/06/2018,Elvis Costello & The Imposters
2018,21/06/2018,Seu Jorge
2018,23/06/2018,Kraftwerk
2018,26/06/2018,Serrat
2018,29/06/2018,Jeff Beck
2018,30/06/2018,Simple Minds
2018,01/07/2018,British Murder Boys
2018,01/07/2018,Karenn
2018,02/07/2018,Pat Metheny
2018,04/07/2018,Angus & Julia Stone
2018,05/07/2018,Rufus Wainwright
2018,06/07/2018,Corinne Bailey Rae
2018,07/07/2018,Charles Lloyd
2018,07/07/2018,Billy Hart Quartet
2018,07/07/2018,Joshua Redman
2018,08/07/2018,Miss Kitten
2018,08/07/2018,Kim Ann Foxman
2018,09/07/2018,Brad Mehldau
2018,09/07/2018,Cècile McLorin Salvant
2018,10/07/2018,David Byrne
2018,11/07/2018,Little Steven
2018,12/07/2018,Funambulista
2018,13/07/2018,James Rhodes
2018,14/07/2018,Miguel Poveda
2018,16/07/2018,Farruquito
2018,18/07/2018,Trombone Shorty
2018,18/07/2018,Cory Henry
2018,19/07/2018,Bomba Estéreo
2018,19/07/2018,Zoé
2018,21/07/2018,Calexico
2018,21/07/2018,Depedro
2018,22/07/2018,Ky-Mani Marley
2018,23/07/2018,Caetano Veloso
2018,24/07/2018,Carlos Vives
2018,24/07/2018,Monsieur Periné
2018,25/07/2018,Gary Clark Jr
2018,25/07/2018,Corizonas
2018,26/07/2018,Phoenix
2018,29/07/2018,Norah Jones
2017,22/06/2017,Tony Bennett
2017,24/06/2017,Il Volo
2017,28/06/2017,Gipsy Kings
2017,30/06/2017,Steve Hackett
2017,01/07/2017,Buika
2017,01/07/2017,Chucho Valdés
2017,02/07/2017,Devendra Banhart
2017,04/07/2017,Anastacia
2017,07/07/2017,Pablo Milanés
2017,09/07/2017,Alpha Blondy
2017,09/07/2017,Iseo & Dodosound
2017,10/07/2017,Rosendo
2017,11/07/2017,Roger Hodgson
2017,12/07/2017,Eliane Elias
2017,12/07/2017,John Pizzarelli
2017,13/07/2017,Salif Keïta
2017,13/07/2017,Les Amazones d'Afrique
2017,13/07/2017,Bokanté
2017,14/07/2017,Madeleine Peyroux
2017,15/07/2017,Film Symphony Orchestra
2017,17/07/2017,Rubén Blades
2017,18/07/2017,Franco Battiato
2017,19/07/2017,Bryan Ferry
2017,20/07/2017,Djavan
2017,21/07/2017,Orishas
2017,22/07/2017,Giorgio Moroder
2017,23/07/2017,UB40
2017,26/07/2017,Jamie Cullum
2017,27/07/2017,Beth Hart
2017,29/07/2017,La La Land
2016,27/06/2016,The Lumineers
2016,28/06/2016,Quilapayún
2016,01/07/2016,Bowie
2016,02/07/2016,Wilco
2016,05/07/2016,Toquinho
2016,05/07/2016,Maria Creuza 
2016,06/07/2016,Alan Parsons
2016,07/07/2016,Pink Martini
2016,08/07/2016,Patti Smith
2016,09/07/2016,2Cellos
2016,10/07/2016,M83
2016,11/07/2016,Benjamin Clementine
2016,12/07/2016,Marillion
2016,14/07/2016,Robert Plant
2016,15/07/2016,John Scofield
2016,15/07/2016,Brad Mehldau
2016,15/07/2016,Mark Guiliana
2016,15/07/2016,Antonio Sánchez
2016,16/07/2016,Bomba Estéreo
2016,16/07/2016,Molotov
2016,16/07/2016,Toundra
2016,17/07/2016,Jorge Drexler
2016,17/07/2016,Xoel López
2016,17/07/2016,Tulsa
2016,17/07/2016,Chico Trujillo
2016,18/07/2016,Steve Vai
2016,19/07/2016,John Mclaughlin
2016,20/07/2016,Ibrahim Maalouf
2016,20/07/2016,Cècile McLorin Salvant
2016,21/07/2016,Melody Gardot
2016,22/07/2016,Seal
2016,23/07/2016,Mariza
2016,26/07/2016,Electric Light Orchestra
2016,27/07/2016,Rozalén
2016,29/07/2016,Gloria Gaynor
